iter	Passed	Remaining
0	60	60654
1	63	31860
2	67	22378
3	70	17642
4	73	14714
5	77	12766
6	80	11369
7	83	10317
8	86	9526
9	89	8909
10	92	8352
11	95	7897
12	98	7511
13	101	7181
14	105	6903
15	108	6653
16	111	6432
17	114	6233
18	117	6064
19	120	5908
20	123	5769
21	126	5638
22	130	5545
23	133	5437
24	136	5335
25	139	5228
26	142	5133
27	144	5031
28	148	4965
29	150	4880
30	153	4801
31	156	4729
32	159	4662
33	161	4601
34	165	4554
35	167	4496
36	170	4439
37	173	4389
38	176	4338
39	179	4297
40	182	4264
41	185	4233
42	188	4197
43	191	4160
44	194	4117
45	196	4077
46	199	4035
47	201	3994
48	204	3967
49	207	3937
50	209	3899
51	213	3900
52	216	3872
53	219	3851
54	222	3825
55	225	3802
56	228	3778
57	231	3754
58	233	3729
59	236	3706
60	239	3684
61	242	3666
62	244	3639
63	247	3618
64	250	3597
65	253	3580
66	255	3561
67	258	3538
68	260	3519
69	263	3500
70	266	3484
71	269	3468
72	271	3452
73	274	3434
74	277	3416
75	279	3398
76	282	3381
77	285	3373
78	289	3370
79	291	3357
80	294	3341
81	297	3332
82	300	3317
83	303	3308
84	305	3291
85	308	3278
86	311	3263
87	313	3248
88	316	3234
89	318	3220
90	321	3210
91	324	3206
92	327	3192
93	330	3181
94	333	3174
95	335	3162
96	339	3163
97	342	3150
98	345	3141
99	347	3131
100	350	3120
101	353	3110
102	356	3105
103	359	3093
104	361	3082
105	364	3073
106	366	3061
107	369	3054
108	372	3047
109	375	3036
110	379	3038
111	382	3031
112	385	3022
113	389	3026
114	391	3016
115	394	3004
116	396	2995
117	399	2985
118	402	2978
119	405	2972
120	408	2964
121	411	2962
122	414	2954
123	416	2944
124	420	2942
125	423	2935
126	425	2927
127	428	2917
128	430	2909
129	433	2900
130	436	2894
131	439	2889
132	442	2882
133	444	2873
134	447	2866
135	450	2859
136	453	2858
137	456	2851
138	459	2844
139	462	2838
140	464	2831
141	467	2824
142	470	2821
143	473	2813
144	476	2806
145	478	2800
146	481	2792
147	483	2785
148	486	2779
149	489	2773
150	492	2766
151	494	2758
152	497	2752
153	499	2744
154	502	2739
155	505	2734
156	508	2728
157	510	2721
158	513	2714
159	515	2706
160	518	2704
161	521	2699
162	524	2693
163	527	2690
164	530	2685
165	533	2681
166	537	2680
167	540	2675
168	543	2670
169	545	2663
170	547	2656
171	550	2650
172	553	2648
173	556	2640
174	558	2634
175	561	2628
176	564	2622
177	566	2616
178	569	2611
179	571	2605
180	574	2599
181	577	2595
182	580	2591
183	583	2587
184	586	2582
185	589	2579
186	592	2576
187	596	2575
188	598	2569
189	601	2565
190	604	2559
191	606	2553
192	609	2547
193	612	2544
194	615	2539
195	618	2536
196	621	2532
197	623	2526
198	626	2520
199	629	2518
200	632	2513
201	635	2510
202	639	2510
203	643	2509
204	645	2504
205	648	2498
206	651	2495
207	654	2492
208	658	2491
209	662	2490
210	664	2486
211	667	2482
212	671	2480
213	674	2478
214	677	2473
215	679	2468
216	683	2464
217	685	2459
